,State,Year,Quater,User_brand,User_count,User_percentage
158,Andaman & Nicobar,2021,3,Realme,4808,7.18
159,Andaman & Nicobar,2021,3,OnePlus,2306,3.44
160,Andaman & Nicobar,2021,3,Huawei,1567,2.34
161,Andaman & Nicobar,2021,3,Apple,1283,1.92
162,Andaman & Nicobar,2021,3,Tecno,1178,1.76
163,Andaman & Nicobar,2021,3,Motorola,1017,1.52
164,Andaman & Nicobar,2021,3,Others,4593,6.86
165,Andaman & Nicobar,2021,4,Vivo,17597,24.52
166,Andaman & Nicobar,2021,4,Xiaomi,16968,23.64
167,Andaman & Nicobar,2021,4,Samsung,12574,17.52
168,Andaman & Nicobar,2021,4,Oppo,6127,8.54
169,Andaman & Nicobar,2021,4,Realme,5830,8.12
170,Andaman & Nicobar,2021,4,OnePlus,2691,3.75
171,Andaman & Nicobar,2021,4,Apple,1490,2.08
172,Andaman & Nicobar,2021,4,Huawei,1459,2.03
173,Andaman & Nicobar,2021,4,Tecno,1417,1.97
174,Andaman & Nicobar,2021,4,Motorola,1055,1.47
175,Andaman & Nicobar,2021,4,Others,4572,6.37
176,Andaman & Nicobar,2022,1,Vivo,18688,24.50
177,Andaman & Nicobar,2022,1,Xiaomi,17957,23.54
178,Andaman & Nicobar,2022,1,Samsung,12955,16.98
179,Andaman & Nicobar,2022,1,Realme,6769,8.87
180,Andaman & Nicobar,2022,1,Oppo,6461,8.47
181,Andaman & Nicobar,2022,1,OnePlus,3005,3.94
182,Andaman & Nicobar,2022,1,Tecno,1770,2.32
183,Andaman & Nicobar,2022,1,Apple,1634,2.14
184,Andaman & Nicobar,2022,1,Huawei,1441,1.89
185,Andaman & Nicobar,2022,1,Motorola,1050,1.38
186,Andaman & Nicobar,2022,1,Others,4558,5.97
187,Andhra Pradesh,2018,1,Xiaomi,836581,25.07
188,Andhra Pradesh,2018,1,Samsung,683687,20.49
189,Andhra Pradesh,2018,1,Vivo,425959,12.77
190,Andhra Pradesh,2018,1,Oppo,304487,9.13
191,Andhra Pradesh,2018,1,Realme,236646,7.09
192,Andhra Pradesh,2018,1,Motorola,129739,3.89
193,Andhra Pradesh,2018,1,OnePlus,129421,3.88
194,Andhra Pradesh,2018,1,Apple,123274,3.69
195,Andhra Pradesh,2018,1,Lenovo,84138,2.52
196,Andhra Pradesh,2018,1,Huawei,76654,2.30
197,Andhra Pradesh,2018,1,Others,305864,9.17
198,Andhra Pradesh,2018,2,Xiaomi,1113800,25.30
199,Andhra Pradesh,2018,2,Samsung,903290,20.52
200,Andhra Pradesh,2018,2,Vivo,586965,13.33
201,Andhra Pradesh,2018,2,Oppo,410549,9.33
202,Andhra Pradesh,2018,2,Realme,305964,6.95
203,Andhra Pradesh,2018,2,Motorola,169847,3.86
204,Andhra Pradesh,2018,2,OnePlus,155418,3.53
205,Andhra Pradesh,2018,2,Apple,151847,3.45
206,Andhra Pradesh,2018,2,Lenovo,107441,2.44
207,Andhra Pradesh,2018,2,Huawei,102929,2.34
208,Andhra Pradesh,2018,2,Others,394490,8.96
209,Andhra Pradesh,2018,3,Xiaomi,1385112,25.52
210,Andhra Pradesh,2018,3,Samsung,1103186,20.33
211,Andhra Pradesh,2018,3,Vivo,761793,14.04
212,Andhra Pradesh,2018,3,Oppo,518120,9.55
213,Andhra Pradesh,2018,3,Realme,379712,7.00
214,Andhra Pradesh,2018,3,Motorola,203756,3.75
215,Andhra Pradesh,2018,3,OnePlus,181364,3.34
216,Andhra Pradesh,2018,3,Apple,175343,3.23
217,Andhra Pradesh,2018,3,Huawei,134429,2.48
218,Andhra Pradesh,2018,3,Lenovo,122489,2.26
219,Andhra Pradesh,2018,3,Others,462313,8.52
220,Andhra Pradesh,2018,4,Xiaomi,1753802,25.58
221,Andhra Pradesh,2018,4,Samsung,1388061,20.24
222,Andhra Pradesh,2018,4,Vivo,1011185,14.75
223,Andhra Pradesh,2018,4,Oppo,675093,9.84
224,Andhra Pradesh,2018,4,Realme,476746,6.95
225,Andhra Pradesh,2018,4,Motorola,250601,3.65
226,Andhra Pradesh,2018,4,OnePlus,210161,3.06
227,Andhra Pradesh,2018,4,Apple,209737,3.06
228,Andhra Pradesh,2018,4,Huawei,176237,2.57
229,Andhra Pradesh,2018,4,Lenovo,149583,2.18
230,Andhra Pradesh,2018,4,Others,556203,8.11
231,Andhra Pradesh,2019,1,Xiaomi,2110547,25.48
232,Andhra Pradesh,2019,1,Samsung,1688342,20.38
233,Andhra Pradesh,2019,1,Vivo,1262871,15.25
234,Andhra Pradesh,2019,1,Oppo,835541,10.09
235,Andhra Pradesh,2019,1,Realme,564832,6.82
236,Andhra Pradesh,2019,1,Motorola,291830,3.52
237,Andhra Pradesh,2019,1,Apple,241108,2.91
238,Andhra Pradesh,2019,1,OnePlus,237269,2.86
239,Andhra Pradesh,2019,1,Huawei,220082,2.66
240,Andhra Pradesh,2019,1,Lenovo,171471,2.07
241,Andhra Pradesh,2019,1,Others,659126,7.96
242,Andhra Pradesh,2019,2,Xiaomi,2389374,25.45
243,Andhra Pradesh,2019,2,Samsung,1914378,20.39
244,Andhra Pradesh,2019,2,Vivo,1466695,15.62
245,Andhra Pradesh,2019,2,Oppo,963352,10.26
246,Andhra Pradesh,2019,2,Realme,641519,6.83
247,Andhra Pradesh,2019,2,Motorola,324778,3.46
248,Andhra Pradesh,2019,2,Apple,264860,2.82
249,Andhra Pradesh,2019,2,OnePlus,254273,2.71
250,Andhra Pradesh,2019,2,Huawei,250859,2.67
251,Andhra Pradesh,2019,2,Lenovo,189151,2.01
252,Andhra Pradesh,2019,2,Others,729764,7.77
253,Andhra Pradesh,2019,3,Xiaomi,2656468,25.40
254,Andhra Pradesh,2019,3,Samsung,2123659,20.31
255,Andhra Pradesh,2019,3,Vivo,1674109,16.01
256,Andhra Pradesh,2019,3,Oppo,1087660,10.40
257,Andhra Pradesh,2019,3,Realme,727964,6.96
258,Andhra Pradesh,2019,3,Motorola,348910,3.34
259,Andhra Pradesh,2019,3,Apple,286412,2.74
260,Andhra Pradesh,2019,3,Huawei,282587,2.70
261,Andhra Pradesh,2019,3,OnePlus,271100,2.59
262,Andhra Pradesh,2019,3,Lenovo,194180,1.86
263,Andhra Pradesh,2019,3,Others,805644,7.70
264,Andhra Pradesh,2019,4,Xiaomi,2985953,25.40
265,Andhra Pradesh,2019,4,Samsung,2379139,20.23
266,Andhra Pradesh,2019,4,Vivo,1922141,16.35
267,Andhra Pradesh,2019,4,Oppo,1241235,10.56
268,Andhra Pradesh,2019,4,Realme,844668,7.18
269,Andhra Pradesh,2019,4,Motorola,381692,3.25
270,Andhra Pradesh,2019,4,Huawei,317290,2.70
271,Andhra Pradesh,2019,4,Apple,308354,2.62
272,Andhra Pradesh,2019,4,OnePlus,286412,2.44
273,Andhra Pradesh,2019,4,Lenovo,208785,1.78
274,Andhra Pradesh,2019,4,Others,882214,7.50
275,Andhra Pradesh,2020,1,Xiaomi,3307542,25.40
276,Andhra Pradesh,2020,1,Samsung,2622762,20.14
277,Andhra Pradesh,2020,1,Vivo,2165012,16.63
278,Andhra Pradesh,2020,1,Oppo,1387060,10.65
279,Andhra Pradesh,2020,1,Realme,960418,7.38
280,Andhra Pradesh,2020,1,Motorola,411062,3.16
281,Andhra Pradesh,2020,1,Huawei,348324,2.67
282,Andhra Pradesh,2020,1,Apple,329329,2.53
283,Andhra Pradesh,2020,1,OnePlus,298911,2.30
284,Andhra Pradesh,2020,1,Lenovo,227154,1.74
285,Andhra Pradesh,2020,1,Others,964486,7.41
286,Andhra Pradesh,2020,2,Xiaomi,3635594,25.39
287,Andhra Pradesh,2020,2,Samsung,2888149,20.17
288,Andhra Pradesh,2020,2,Vivo,2409399,16.83
289,Andhra Pradesh,2020,2,Oppo,1535129,10.72
290,Andhra Pradesh,2020,2,Realme,1072165,7.49
291,Andhra Pradesh,2020,2,Motorola,445380,3.11
292,Andhra Pradesh,2020,2,Huawei,379220,2.65
293,Andhra Pradesh,2020,2,Apple,348938,2.44
294,Andhra Pradesh,2020,2,OnePlus,309208,2.16
295,Andhra Pradesh,2020,2,Lenovo,243288,1.70
296,Andhra Pradesh,2020,2,Others,1053205,7.35
297,Andhra Pradesh,2020,3,Xiaomi,3978789,25.35
298,Andhra Pradesh,2020,3,Samsung,3154020,20.10
