,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
146,Andhra Pradesh,2019,1,Recharge & bill payments,14022264,3480641602
147,Andhra Pradesh,2019,1,Merchant payments,5043682,2423536770
148,Andhra Pradesh,2019,1,Financial Services,416325,47150178
149,Andhra Pradesh,2019,1,Others,361263,284937625
150,Andhra Pradesh,2019,2,Peer-to-peer payments,32494402,1.03925E+11
151,Andhra Pradesh,2019,2,Recharge & bill payments,14093964,4708345388
152,Andhra Pradesh,2019,2,Merchant payments,9226537,4613405203
153,Andhra Pradesh,2019,2,Financial Services,145310,26626697
154,Andhra Pradesh,2019,2,Others,448802,361492238
155,Andhra Pradesh,2019,3,Peer-to-peer payments,39023491,1.24339E+11
156,Andhra Pradesh,2019,3,Recharge & bill payments,20147629,6893984677
157,Andhra Pradesh,2019,3,Merchant payments,16581787,7887394038
158,Andhra Pradesh,2019,3,Financial Services,122270,29778183
159,Andhra Pradesh,2019,3,Others,413437,298142028
160,Andhra Pradesh,2019,4,Peer-to-peer payments,57181511,1.78894E+11
161,Andhra Pradesh,2019,4,Merchant payments,25122370,13476303368
162,Andhra Pradesh,2019,4,Recharge & bill payments,24469888,8335168606
163,Andhra Pradesh,2019,4,Financial Services,105662,26796572
164,Andhra Pradesh,2019,4,Others,338672,216496893
165,Andhra Pradesh,2020,1,Peer-to-peer payments,65452143,2.23089E+11
166,Andhra Pradesh,2020,1,Merchant payments,31408022,18603161784
167,Andhra Pradesh,2020,1,Recharge & bill payments,30449644,10813530778
168,Andhra Pradesh,2020,1,Financial Services,75238,43739133
169,Andhra Pradesh,2020,1,Others,292310,188228538
170,Andhra Pradesh,2020,2,Peer-to-peer payments,73609921,2.62732E+11
171,Andhra Pradesh,2020,2,Recharge & bill payments,41013987,16991006437
172,Andhra Pradesh,2020,2,Merchant payments,29976765,22625596525
173,Andhra Pradesh,2020,2,Financial Services,140941,145274999
174,Andhra Pradesh,2020,2,Others,176241,90087655
175,Andhra Pradesh,2020,3,Peer-to-peer payments,106791894,4.06462E+11
176,Andhra Pradesh,2020,3,Merchant payments,54055557,40739580214
177,Andhra Pradesh,2020,3,Recharge & bill payments,43500067,19475104675
178,Andhra Pradesh,2020,3,Financial Services,243088,256074925
179,Andhra Pradesh,2020,3,Others,312329,151582519
180,Andhra Pradesh,2020,4,Peer-to-peer payments,152003791,5.66639E+11
181,Andhra Pradesh,2020,4,Merchant payments,86581460,66654048150
182,Andhra Pradesh,2020,4,Recharge & bill payments,46810304,20936337212
183,Andhra Pradesh,2020,4,Financial Services,265470,305168772
184,Andhra Pradesh,2020,4,Others,457527,306853356
185,Andhra Pradesh,2021,1,Peer-to-peer payments,149313738,5.80542E+11
186,Andhra Pradesh,2021,1,Merchant payments,97920281,70813192713
187,Andhra Pradesh,2021,1,Recharge & bill payments,41940689,20546424964
188,Andhra Pradesh,2021,1,Financial Services,225355,270313028
189,Andhra Pradesh,2021,1,Others,347907,272546458
190,Andhra Pradesh,2021,2,Peer-to-peer payments,189614879,7.37004E+11
191,Andhra Pradesh,2021,2,Merchant payments,112875274,88512429437
192,Andhra Pradesh,2021,2,Recharge & bill payments,49626902,24646800345
193,Andhra Pradesh,2021,2,Financial Services,243237,265483044
194,Andhra Pradesh,2021,2,Others,406842,308302224
195,Andhra Pradesh,2021,3,Peer-to-peer payments,221280317,8.37841E+11
196,Andhra Pradesh,2021,3,Merchant payments,158290953,1.18164E+11
197,Andhra Pradesh,2021,3,Recharge & bill payments,51702350,27511344958
198,Andhra Pradesh,2021,3,Financial Services,211171,297239698
199,Andhra Pradesh,2021,3,Others,547759,403948276
200,Andhra Pradesh,2021,4,Peer-to-peer payments,262006450,9.7127E+11
201,Andhra Pradesh,2021,4,Merchant payments,207538904,1.52884E+11
202,Andhra Pradesh,2021,4,Recharge & bill payments,51762842,31232784714
203,Andhra Pradesh,2021,4,Financial Services,243951,332740109
204,Andhra Pradesh,2021,4,Others,701856,545223416
205,Andhra Pradesh,2022,1,Peer-to-peer payments,288488560,1.08963E+12
206,Andhra Pradesh,2022,1,Merchant payments,242031836,1.6942E+11
207,Andhra Pradesh,2022,1,Recharge & bill payments,51224170,34473036842
208,Andhra Pradesh,2022,1,Financial Services,231651,324358965
209,Andhra Pradesh,2022,1,Others,627694,474382234
