,State,Year,Quarter,district,Transaction_count,Transaction_amount
9572,Maharashtra,2020,3,nanded ,3194923,6348462429
9573,Maharashtra,2020,3,osmanabad ,2489096,4682189937
9574,Maharashtra,2020,3,nagpur ,11746960,18854510865
9575,Maharashtra,2020,3,buldhana ,2928610,6020031152
9576,Maharashtra,2020,3,nashik ,17587671,26675908701
9577,Maharashtra,2020,3,akola ,1518861,2574200193
9578,Maharashtra,2020,3,yavatmal ,1743407,3032251176
9579,Maharashtra,2020,3,aurangabad ,12231686,19033463159
9580,Maharashtra,2020,3,amravati ,3774174,6075582865
9581,Maharashtra,2020,3,washim ,2135042,4973062171
9582,Maharashtra,2020,3,sangli ,3148369,5477370561
9583,Maharashtra,2020,3,gadchiroli ,678774,1203705611
9584,Maharashtra,2020,3,raigad ,5427408,8380993717
9585,Maharashtra,2020,3,palghar ,5046305,7298216466
9586,Maharashtra,2020,3,jalna ,2539902,4610124936
9587,Maharashtra,2020,3,gondia ,927925,1784236182
9588,Maharashtra,2020,3,ahmednagar ,8883332,16593214277
9589,Maharashtra,2020,3,pune ,101472134,1.54E+11
9590,Maharashtra,2020,3,beed ,3118322,6611620806
9591,Maharashtra,2020,3,satara ,4577239,6804965990
9592,Maharashtra,2020,4,jalgaon ,6985861,12494067002
9593,Maharashtra,2020,4,latur ,5323018,9526451377
9594,Maharashtra,2020,4,thane ,30073494,43911916102
9595,Maharashtra,2020,4,bhandara ,1557214,2686273675
9596,Maharashtra,2020,4,nandurbar ,1339578,2517220919
9597,Maharashtra,2020,4,chandrapur ,2924775,4626249366
9598,Maharashtra,2020,4,kolhapur ,6953772,10786069175
9599,Maharashtra,2020,4,solapur ,12746918,24047679848
9600,Maharashtra,2020,4,mumbai ,7347827,13445000528
9601,Maharashtra,2020,4,sindhudurg ,704068,1074666906
9602,Maharashtra,2020,4,dhule ,3259845,6104788321
9603,Maharashtra,2020,4,wardha ,1765818,2809665510
9604,Maharashtra,2020,4,parbhani ,2927074,5384672051
9605,Maharashtra,2020,4,mumbai suburban ,31947471,52567087497
9606,Maharashtra,2020,4,hingoli ,1323826,2457013064
9607,Maharashtra,2020,4,ratnagiri ,1239737,1918661281
9608,Maharashtra,2020,4,nanded ,4944241,10129280637
9609,Maharashtra,2020,4,osmanabad ,3700883,7067137736
9610,Maharashtra,2020,4,nagpur ,17881031,27734234062
9611,Maharashtra,2020,4,buldhana ,4315634,8694631795
9612,Maharashtra,2020,4,nashik ,25886584,38876096830
9613,Maharashtra,2020,4,akola ,2321592,3994626252
9614,Maharashtra,2020,4,yavatmal ,2582434,4650557075
9615,Maharashtra,2020,4,aurangabad ,19001745,27681773653
9616,Maharashtra,2020,4,amravati ,5645786,9549659612
9617,Maharashtra,2020,4,washim ,5782133,13400145744
9618,Maharashtra,2020,4,sangli ,4990427,8677291713
9619,Maharashtra,2020,4,gadchiroli ,953205,1842068912
9620,Maharashtra,2020,4,raigad ,9634903,13939207767
9621,Maharashtra,2020,4,palghar ,8070045,11789420098
9622,Maharashtra,2020,4,jalna ,3740553,6701628487
9623,Maharashtra,2020,4,gondia ,1312868,2564702116
9624,Maharashtra,2020,4,ahmednagar ,13929256,25560818871
9625,Maharashtra,2020,4,pune ,142350762,1.83E+11
9626,Maharashtra,2020,4,beed ,4622657,9549129679
9627,Maharashtra,2020,4,satara ,7533969,10884087746
9628,Maharashtra,2021,1,jalgaon ,7125707,13436630176
9629,Maharashtra,2021,1,latur ,5760464,10272773259
9630,Maharashtra,2021,1,thane ,33503449,48840960312
9631,Maharashtra,2021,1,bhandara ,1564520,2913849253
9632,Maharashtra,2021,1,nandurbar ,1383515,2901763349
9633,Maharashtra,2021,1,chandrapur ,3151866,5069729589
9634,Maharashtra,2021,1,kolhapur ,7652720,11901398334
9635,Maharashtra,2021,1,solapur ,13720797,26445846334
9636,Maharashtra,2021,1,mumbai ,8188922,15047988752
9637,Maharashtra,2021,1,sindhudurg ,687743,1257865634
9638,Maharashtra,2021,1,dhule ,3403609,6669525562
9639,Maharashtra,2021,1,wardha ,1840914,3127038657
9640,Maharashtra,2021,1,parbhani ,3263936,6070517241
9641,Maharashtra,2021,1,mumbai suburban ,49079788,75911506798
9642,Maharashtra,2021,1,hingoli ,1278417,2500851214
9643,Maharashtra,2021,1,ratnagiri ,1238194,2129551543
9644,Maharashtra,2021,1,nanded ,5176083,10853543032
9645,Maharashtra,2021,1,osmanabad ,3859502,7459855804
9646,Maharashtra,2021,1,nagpur ,20132732,31261594334
9647,Maharashtra,2021,1,buldhana ,4321520,9192518486
9648,Maharashtra,2021,1,nashik ,27235543,41832846588
9649,Maharashtra,2021,1,akola ,2410033,4313676653
9650,Maharashtra,2021,1,yavatmal ,2673201,5192118901
9651,Maharashtra,2021,1,aurangabad ,20324679,29945191784
9652,Maharashtra,2021,1,amravati ,5370072,9628361958
9653,Maharashtra,2021,1,washim ,16119131,32164445523
9654,Maharashtra,2021,1,sangli ,5514760,9850670767
9655,Maharashtra,2021,1,gadchiroli ,959325,2010484968
9656,Maharashtra,2021,1,raigad ,10673549,15596964082
9657,Maharashtra,2021,1,palghar ,8313771,12738143184
9658,Maharashtra,2021,1,jalna ,3795010,7135028201
9659,Maharashtra,2021,1,gondia ,1400318,2892659243
9660,Maharashtra,2021,1,ahmednagar ,14942900,27709537707
9661,Maharashtra,2021,1,pune ,208930588,2.54E+11
9662,Maharashtra,2021,1,beed ,4851168,10322699961
9663,Maharashtra,2021,1,satara ,8011794,11665585733
9664,Maharashtra,2021,2,jalgaon ,9203822,17827507489
9665,Maharashtra,2021,2,latur ,6926698,12775603483
9666,Maharashtra,2021,2,thane ,34695330,51834001818
9667,Maharashtra,2021,2,bhandara ,1822721,3497598608
9668,Maharashtra,2021,2,nandurbar ,1769625,3685674679
9669,Maharashtra,2021,2,chandrapur ,3869197,6284653561
9670,Maharashtra,2021,2,kolhapur ,8091062,13193153732
9671,Maharashtra,2021,2,solapur ,16828619,33876247851
9672,Maharashtra,2021,2,mumbai ,7493859,13269905417
9673,Maharashtra,2021,2,sindhudurg ,744195,1343035806
9674,Maharashtra,2021,2,dhule ,4332008,8554199986
9675,Maharashtra,2021,2,wardha ,2139522,3699297145
9676,Maharashtra,2021,2,parbhani ,4436069,8209849173
9677,Maharashtra,2021,2,mumbai suburban ,51172626,79709409342
9678,Maharashtra,2021,2,hingoli ,1723420,3436318357
9679,Maharashtra,2021,2,ratnagiri ,1425394,2433599393
9680,Maharashtra,2021,2,nanded ,6605754,14281557245
9681,Maharashtra,2021,2,osmanabad ,4779631,9350468424
9682,Maharashtra,2021,2,nagpur ,22506189,36690120294
9683,Maharashtra,2021,2,buldhana ,5761237,12195032521
9684,Maharashtra,2021,2,nashik ,28391827,47825836434
9685,Maharashtra,2021,2,akola ,3118344,5603968803
9686,Maharashtra,2021,2,yavatmal ,3570984,6810703586
9687,Maharashtra,2021,2,aurangabad ,23744887,36191383377
9688,Maharashtra,2021,2,amravati ,6482349,11779345148
9689,Maharashtra,2021,2,washim ,27190170,55251595071
9690,Maharashtra,2021,2,sangli ,6227375,11675925280
9691,Maharashtra,2021,2,gadchiroli ,1212525,2440258252
9692,Maharashtra,2021,2,raigad ,11509927,16915509520
9693,Maharashtra,2021,2,palghar ,8657621,12997801117
9694,Maharashtra,2021,2,jalna ,4973393,9302678916
9695,Maharashtra,2021,2,gondia ,1714392,3601577354
9696,Maharashtra,2021,2,ahmednagar ,16869500,32660327253
9697,Maharashtra,2021,2,pune ,218732925,2.99E+11
9698,Maharashtra,2021,2,beed ,6303927,13880929755
9699,Maharashtra,2021,2,satara ,8589362,13372484168
9700,Maharashtra,2021,3,jalgaon ,11683707,20222318555
9701,Maharashtra,2021,3,latur ,9248789,15056539122
9702,Maharashtra,2021,3,thane ,46296081,66370065441
9703,Maharashtra,2021,3,bhandara ,2346620,4177653276
9704,Maharashtra,2021,3,nandurbar ,2294230,4289557263
9705,Maharashtra,2021,3,chandrapur ,5223272,7710188968
9706,Maharashtra,2021,3,kolhapur ,11008132,17285308891
9707,Maharashtra,2021,3,solapur ,22642205,41800216300
9708,Maharashtra,2021,3,mumbai ,11491677,20168312967
9709,Maharashtra,2021,3,sindhudurg ,901040,1629829530
9710,Maharashtra,2021,3,dhule ,5529023,10014453952
9711,Maharashtra,2021,3,wardha ,2839183,4424402893
9712,Maharashtra,2021,3,parbhani ,6675022,10674377409
9713,Maharashtra,2021,3,mumbai suburban ,67846531,1.00E+11
9714,Maharashtra,2021,3,hingoli ,2161199,3965562681
9715,Maharashtra,2021,3,ratnagiri ,1682108,2812554266
9716,Maharashtra,2021,3,nanded ,8916177,16631083456
9717,Maharashtra,2021,3,osmanabad ,6137588,10879099862
9718,Maharashtra,2021,3,nagpur ,29998841,44274024438
9719,Maharashtra,2021,3,buldhana ,7413428,13612640871
9720,Maharashtra,2021,3,nashik ,39927545,60198709474
9721,Maharashtra,2021,3,akola ,4155570,6724928545
9722,Maharashtra,2021,3,yavatmal ,4696326,8082506308
9723,Maharashtra,2021,3,aurangabad ,32667108,45343695948
9724,Maharashtra,2021,3,amravati ,8512827,13891877202
9725,Maharashtra,2021,3,washim ,47716080,89156949628
9726,Maharashtra,2021,3,sangli ,8352537,14641584803
9727,Maharashtra,2021,3,gadchiroli ,1543698,2975813666
9728,Maharashtra,2021,3,raigad ,15666356,21716387177
9729,Maharashtra,2021,3,palghar ,11918989,17245742714
9730,Maharashtra,2021,3,jalna ,6262192,10808380341
9731,Maharashtra,2021,3,gondia ,2236319,4202183466
9732,Maharashtra,2021,3,ahmednagar ,23270731,41445914645
9733,Maharashtra,2021,3,pune ,303322956,3.72E+11
9734,Maharashtra,2021,3,beed ,8279040,16758879511
9735,Maharashtra,2021,3,satara ,12010933,17327306885
9736,Maharashtra,2021,4,jalgaon ,15456402,26909954530
9737,Maharashtra,2021,4,latur ,12678966,20736966203
9738,Maharashtra,2021,4,thane ,58731186,82756618879
9739,Maharashtra,2021,4,bhandara ,3014353,5371508386
9740,Maharashtra,2021,4,nandurbar ,3087075,5793563147
9741,Maharashtra,2021,4,chandrapur ,7009727,10412294822
9742,Maharashtra,2021,4,kolhapur ,15202155,23311142306
9743,Maharashtra,2021,4,solapur ,29893044,53557566278
9744,Maharashtra,2021,4,mumbai ,15677222,27535270023
9745,Maharashtra,2021,4,sindhudurg ,1243850,2234445566
9746,Maharashtra,2021,4,dhule ,7402020,13203246957
9747,Maharashtra,2021,4,wardha ,3741381,5948081630
9748,Maharashtra,2021,4,parbhani ,8899067,13987558040
9749,Maharashtra,2021,4,mumbai suburban ,92733033,1.35E+11
9750,Maharashtra,2021,4,hingoli ,2951247,5448438919
9751,Maharashtra,2021,4,ratnagiri ,2267617,3804549056
9752,Maharashtra,2021,4,nanded ,12362404,23236313336
9753,Maharashtra,2021,4,osmanabad ,8478583,14851847464
9754,Maharashtra,2021,4,nagpur ,37294016,55504861303
9755,Maharashtra,2021,4,buldhana ,9965367,18366614805
9756,Maharashtra,2021,4,nashik ,50753398,77325087056
9757,Maharashtra,2021,4,akola ,5575093,9105402246
9758,Maharashtra,2021,4,yavatmal ,6325995,11009717772
9759,Maharashtra,2021,4,aurangabad ,42089766,58225600205
9760,Maharashtra,2021,4,amravati ,10748480,18826698544
9761,Maharashtra,2021,4,washim ,58312102,1.09E+11
9762,Maharashtra,2021,4,sangli ,11336302,19350815033
9763,Maharashtra,2021,4,gadchiroli ,2019389,3876064980
9764,Maharashtra,2021,4,raigad ,19999796,27241010089
9765,Maharashtra,2021,4,palghar ,15141805,21820045142
9766,Maharashtra,2021,4,jalna ,8350020,14344117827
9767,Maharashtra,2021,4,gondia ,2933396,5371056519
9768,Maharashtra,2021,4,ahmednagar ,30809337,53652623922
9769,Maharashtra,2021,4,pune ,371337618,4.55E+11
9770,Maharashtra,2021,4,beed ,10966370,21562077523
9771,Maharashtra,2021,4,satara ,15943920,22557502388
9772,Maharashtra,2022,1,jalgaon ,17757988,30555178757
9773,Maharashtra,2022,1,latur ,15356835,23856260979
9774,Maharashtra,2022,1,thane ,66420329,91604299446
9775,Maharashtra,2022,1,bhandara ,3461274,6404864501
9776,Maharashtra,2022,1,nandurbar ,3622329,7060445513
9777,Maharashtra,2022,1,chandrapur ,8245169,12334491816
9778,Maharashtra,2022,1,kolhapur ,17433041,26386491969
9779,Maharashtra,2022,1,solapur ,35130037,62436627061
9780,Maharashtra,2022,1,mumbai ,17957610,30021552307
9781,Maharashtra,2022,1,sindhudurg ,1428957,2551979374
9782,Maharashtra,2022,1,dhule ,8541986,14920655482
9783,Maharashtra,2022,1,wardha ,4351919,6817775708
9784,Maharashtra,2022,1,parbhani ,10320054,15871955897
9785,Maharashtra,2022,1,mumbai suburban ,104595313,1.48E+11
9786,Maharashtra,2022,1,hingoli ,3618468,6309169660
9787,Maharashtra,2022,1,ratnagiri ,2707601,4494723116
9788,Maharashtra,2022,1,nanded ,14832112,26944854916
9789,Maharashtra,2022,1,osmanabad ,9757272,17024101046
9790,Maharashtra,2022,1,nagpur ,43072958,63065806665
9791,Maharashtra,2022,1,buldhana ,11747608,20901275712
9792,Maharashtra,2022,1,nashik ,59914404,89903593918
9793,Maharashtra,2022,1,akola ,6689313,10723857465
9794,Maharashtra,2022,1,yavatmal ,7555408,12885201281
9795,Maharashtra,2022,1,aurangabad ,48288544,66140008400
9796,Maharashtra,2022,1,amravati ,12901295,21513429781
9797,Maharashtra,2022,1,washim ,73700274,1.36E+11
9798,Maharashtra,2022,1,sangli ,13407114,22867674942
9799,Maharashtra,2022,1,gadchiroli ,2430940,4667653819
9800,Maharashtra,2022,1,raigad ,22836136,30642123150
9801,Maharashtra,2022,1,palghar ,17329583,24541321852
9802,Maharashtra,2022,1,jalna ,9770142,16932733608
9803,Maharashtra,2022,1,gondia ,3447926,6533829707
9804,Maharashtra,2022,1,ahmednagar ,35927347,61917805950
9805,Maharashtra,2022,1,pune ,424149132,5.08E+11
9806,Maharashtra,2022,1,beed ,12794151,24332097863
9807,Maharashtra,2022,1,satara ,18005869,25280931606
9808,Maharashtra,2022,2,jalgaon ,20794365,36575989750
9809,Maharashtra,2022,2,latur ,18128124,28958359286
9810,Maharashtra,2022,2,thane ,76359706,1.04E+11
9811,Maharashtra,2022,2,bhandara ,4092003,7232792766
9812,Maharashtra,2022,2,nandurbar ,4250672,8304946450
9813,Maharashtra,2022,2,chandrapur ,9797860,14673749839
9814,Maharashtra,2022,2,kolhapur ,20243542,30132865372
9815,Maharashtra,2022,2,solapur ,41690075,74367210007
9816,Maharashtra,2022,2,mumbai ,21906382,34652240504
9817,Maharashtra,2022,2,sindhudurg ,1651248,2911299846
9818,Maharashtra,2022,2,dhule ,10013481,17251071063
9819,Maharashtra,2022,2,wardha ,5184451,8180933330
9820,Maharashtra,2022,2,parbhani ,12237389,19217813800
9821,Maharashtra,2022,2,mumbai suburban ,125227570,1.73E+11
9822,Maharashtra,2022,2,hingoli ,4251385,7588716856
9823,Maharashtra,2022,2,ratnagiri ,3132835,5132970050
9824,Maharashtra,2022,2,nanded ,17724135,32660155636
9825,Maharashtra,2022,2,osmanabad ,11489907,20295780297
9826,Maharashtra,2022,2,nagpur ,52065290,75751126722
9827,Maharashtra,2022,2,buldhana ,13912064,24793582297
9828,Maharashtra,2022,2,nashik ,69128782,1.03E+11
9829,Maharashtra,2022,2,akola ,7921437,12695451607
9830,Maharashtra,2022,2,yavatmal ,9164377,15619715763
9831,Maharashtra,2022,2,aurangabad ,55248137,75915458867
9832,Maharashtra,2022,2,amravati ,15342341,24924375837
9833,Maharashtra,2022,2,washim ,98129806,1.76E+11
9834,Maharashtra,2022,2,sangli ,15400605,25758452266
9835,Maharashtra,2022,2,gadchiroli ,2879207,5569253888
9836,Maharashtra,2022,2,raigad ,26465986,34460851151
9837,Maharashtra,2022,2,palghar ,19395512,26988617829
9838,Maharashtra,2022,2,jalna ,11306875,19653230058
9839,Maharashtra,2022,2,gondia ,4154419,7653207776
9840,Maharashtra,2022,2,ahmednagar ,42201172,72250021262
9841,Maharashtra,2022,2,pune ,520321567,6.21E+11
9842,Maharashtra,2022,2,beed ,15497524,30601828692
9843,Maharashtra,2022,2,satara ,20822882,29497978656
9844,Maharashtra,2022,3,jalgaon ,21047727,34617511596
9845,Maharashtra,2022,3,latur ,17812129,26257685564
9846,Maharashtra,2022,3,thane ,80605581,1.04E+11
9847,Maharashtra,2022,3,bhandara ,4087395,6757463931
9848,Maharashtra,2022,3,nandurbar ,4162280,7210686511
9849,Maharashtra,2022,3,chandrapur ,9596226,13325464158
9850,Maharashtra,2022,3,kolhapur ,24897514,35290411637
9851,Maharashtra,2022,3,solapur ,43898093,73768556417
9852,Maharashtra,2022,3,mumbai ,72051672,98270574414
9853,Maharashtra,2022,3,sindhudurg ,1433464,2330071830
9854,Maharashtra,2022,3,dhule ,9760928,16123090143
9855,Maharashtra,2022,3,wardha ,5641625,8211699040
9856,Maharashtra,2022,3,parbhani ,9856335,15073054825
9857,Maharashtra,2022,3,mumbai suburban ,197724164,2.48E+11
9858,Maharashtra,2022,3,hingoli ,4340017,6879672883
9859,Maharashtra,2022,3,ratnagiri ,3379494,4901770245
9860,Maharashtra,2022,3,nanded ,18419096,30054993788
9861,Maharashtra,2022,3,osmanabad ,11529406,18578961710
9862,Maharashtra,2022,3,nagpur ,73292524,1.01E+11
9863,Maharashtra,2022,3,buldhana ,14234928,22499077830
9864,Maharashtra,2022,3,nashik ,75574380,1.10E+11
9865,Maharashtra,2022,3,akola ,8839710,12866344717
9866,Maharashtra,2022,3,yavatmal ,10601620,16269071014
9867,Maharashtra,2022,3,aurangabad ,59756919,78617594736
9868,Maharashtra,2022,3,amravati ,17634270,27223482345
9869,Maharashtra,2022,3,washim ,17502495,31020762469
9870,Maharashtra,2022,3,sangli ,17044884,26797586212
9871,Maharashtra,2022,3,gadchiroli ,2957701,5179151794
9872,Maharashtra,2022,3,raigad ,28475145,36394835875
9873,Maharashtra,2022,3,palghar ,21251118,27858158775
9874,Maharashtra,2022,3,jalna ,11721876,19006868143
9875,Maharashtra,2022,3,gondia ,4236959,7259174997
9876,Maharashtra,2022,3,ahmednagar ,42461860,70593347850
9877,Maharashtra,2022,3,pune ,505018506,5.50E+11
9878,Maharashtra,2022,3,beed ,15769922,29258345494
9879,Maharashtra,2022,3,satara ,19771454,27386242964
9880,Maharashtra,2022,4,jalgaon ,24441243,40517965270
9881,Maharashtra,2022,4,latur ,20623462,30658727472
9882,Maharashtra,2022,4,thane ,96634264,1.20E+11
9883,Maharashtra,2022,4,bhandara ,5270967,8540677015
9884,Maharashtra,2022,4,nandurbar ,5572337,9126918822
9885,Maharashtra,2022,4,chandrapur ,12283830,17204912500
9886,Maharashtra,2022,4,kolhapur ,29228843,40981314699
9887,Maharashtra,2022,4,solapur ,49452868,83291615227
9888,Maharashtra,2022,4,mumbai ,75229421,1.02E+11
9889,Maharashtra,2022,4,sindhudurg ,1712359,2782675280
9890,Maharashtra,2022,4,dhule ,11758841,19363163563
9891,Maharashtra,2022,4,wardha ,6408966,9434313416
9892,Maharashtra,2022,4,parbhani ,11428317,17658440737
9893,Maharashtra,2022,4,mumbai suburban ,248827345,3.10E+11
9894,Maharashtra,2022,4,hingoli ,4938947,8011969252
9895,Maharashtra,2022,4,ratnagiri ,4187852,6141314534
9896,Maharashtra,2022,4,nanded ,22110992,36598174602
9897,Maharashtra,2022,4,osmanabad ,13538711,22307513856
9898,Maharashtra,2022,4,nagpur ,82944788,1.16E+11
9899,Maharashtra,2022,4,buldhana ,16400739,26195814509
9900,Maharashtra,2022,4,nashik ,95624463,1.38E+11
9901,Maharashtra,2022,4,akola ,10468300,15615681678
9902,Maharashtra,2022,4,yavatmal ,12034565,18674258813
9903,Maharashtra,2022,4,aurangabad ,67307091,90151467649
9904,Maharashtra,2022,4,amravati ,21183979,33412668570
9905,Maharashtra,2022,4,washim ,5525504,8785703924
9906,Maharashtra,2022,4,sangli ,19941978,31162211677
9907,Maharashtra,2022,4,gadchiroli ,3487868,6144813641
9908,Maharashtra,2022,4,raigad ,32354836,40318975045
9909,Maharashtra,2022,4,palghar ,24405823,31394133934
9910,Maharashtra,2022,4,jalna ,12883252,20770728450
9911,Maharashtra,2022,4,gondia ,4897879,8274042900
9912,Maharashtra,2022,4,ahmednagar ,50187075,84188481406
9913,Maharashtra,2022,4,pune ,544687754,5.90E+11
9914,Maharashtra,2022,4,beed ,17664451,32278259900
9915,Maharashtra,2022,4,satara ,23125362,32215623083
9916,Maharashtra,2023,1,jalgaon ,38623435,61341010913
9917,Maharashtra,2023,1,latur ,35158548,49084964636
9918,Maharashtra,2023,1,thane ,142097640,1.65E+11
9919,Maharashtra,2023,1,bhandara ,7547790,12694847227
9920,Maharashtra,2023,1,nandurbar ,8430736,14050704312
9921,Maharashtra,2023,1,chandrapur ,18577094,25598818006
9922,Maharashtra,2023,1,kolhapur ,34958486,47429221437
9923,Maharashtra,2023,1,solapur ,78530550,1.29E+11
9924,Maharashtra,2023,1,mumbai ,45774016,60530759966
9925,Maharashtra,2023,1,sindhudurg ,2710982,4162122806
9926,Maharashtra,2023,1,dhule ,18707553,29608854638
9927,Maharashtra,2023,1,wardha ,9686307,13865514215
9928,Maharashtra,2023,1,parbhani ,17271660,25877465140
9929,Maharashtra,2023,1,mumbai suburban ,119452769,1.39E+11
9930,Maharashtra,2023,1,hingoli ,8685933,13136815207
9931,Maharashtra,2023,1,ratnagiri ,5377285,7625526219
9932,Maharashtra,2023,1,nanded ,35403216,56316419080
9933,Maharashtra,2023,1,osmanabad ,21559939,34320473293
9934,Maharashtra,2023,1,nagpur ,87172881,1.16E+11
9935,Maharashtra,2023,1,buldhana ,25016513,39188670455
9936,Maharashtra,2023,1,nashik ,119376880,1.68E+11
9937,Maharashtra,2023,1,akola ,15331681,22237521926
9938,Maharashtra,2023,1,yavatmal ,18270826,27373429492
9939,Maharashtra,2023,1,aurangabad ,95131875,1.21E+11
9940,Maharashtra,2023,1,amravati ,28366757,42808116309
9941,Maharashtra,2023,1,washim ,9081915,13734807753
9942,Maharashtra,2023,1,sangli ,28688837,44817250461
9943,Maharashtra,2023,1,gadchiroli ,5702009,9728601846
9944,Maharashtra,2023,1,raigad ,50072751,58510274697
9945,Maharashtra,2023,1,palghar ,37732488,46209116176
9946,Maharashtra,2023,1,jalna ,21617002,33979501349
9947,Maharashtra,2023,1,gondia ,8055392,13740824732
9948,Maharashtra,2023,1,ahmednagar ,78198945,1.28E+11
9949,Maharashtra,2023,1,pune ,505841046,4.90E+11
9950,Maharashtra,2023,1,beed ,29176974,50233010150
9951,Maharashtra,2023,1,satara ,36879788,49100769032
9952,Maharashtra,2023,2,jalgaon ,43918929,69143178468
9953,Maharashtra,2023,2,latur ,39755669,56437687102
9954,Maharashtra,2023,2,thane ,155714593,1.79E+11
9955,Maharashtra,2023,2,bhandara ,8772364,14542894283
9956,Maharashtra,2023,2,nandurbar ,9729146,15801530018
9957,Maharashtra,2023,2,chandrapur ,21125219,28796861535
9958,Maharashtra,2023,2,kolhapur ,38284895,50983300644
9959,Maharashtra,2023,2,solapur ,88308858,1.41E+11
9960,Maharashtra,2023,2,mumbai ,50518947,64178064613
9961,Maharashtra,2023,2,sindhudurg ,3206946,4994087558
9962,Maharashtra,2023,2,dhule ,21311364,32657563897
9963,Maharashtra,2023,2,wardha ,11018651,15725149078
9964,Maharashtra,2023,2,parbhani ,20113729,29564795893
9965,Maharashtra,2023,2,mumbai suburban ,130857450,1.48E+11
9966,Maharashtra,2023,2,hingoli ,10210748,15096901996
9967,Maharashtra,2023,2,ratnagiri ,6003448,8454328736
9968,Maharashtra,2023,2,nanded ,41039783,65861160572
9969,Maharashtra,2023,2,osmanabad ,24996830,38698944859
9970,Maharashtra,2023,2,nagpur ,97521493,1.30E+11
9971,Maharashtra,2023,2,buldhana ,29278971,45401769170
9972,Maharashtra,2023,2,nashik ,135966489,1.85E+11
9973,Maharashtra,2023,2,akola ,17501058,25163689217
9974,Maharashtra,2023,2,yavatmal ,21384758,31432158097
9975,Maharashtra,2023,2,aurangabad ,105820511,1.33E+11
9976,Maharashtra,2023,2,amravati ,32364745,47513217418
9977,Maharashtra,2023,2,washim ,10672777,15839093691
9978,Maharashtra,2023,2,sangli ,31753332,47671264598
9979,Maharashtra,2023,2,gadchiroli ,6511653,10972942391
9980,Maharashtra,2023,2,raigad ,55379671,63261035124
9981,Maharashtra,2023,2,palghar ,40593300,48523737919
9982,Maharashtra,2023,2,jalna ,25426010,39055254952
9983,Maharashtra,2023,2,gondia ,9289985,15203836441
9984,Maharashtra,2023,2,ahmednagar ,88553642,1.40E+11
9985,Maharashtra,2023,2,pune ,554427668,5.36E+11
9986,Maharashtra,2023,2,beed ,34709080,59796330775
9987,Maharashtra,2023,2,satara ,41675136,54550581643
9988,Maharashtra,2023,3,jalgaon ,48358266,70702094558
9989,Maharashtra,2023,3,latur ,44567363,56992689924
9990,Maharashtra,2023,3,thane ,170404523,1.89E+11
9991,Maharashtra,2023,3,bhandara ,9507268,14348573669
9992,Maharashtra,2023,3,nandurbar ,10930709,15681662881
9993,Maharashtra,2023,3,chandrapur ,23759793,29770727981
9994,Maharashtra,2023,3,kolhapur ,40915113,52781796413
9995,Maharashtra,2023,3,solapur ,98314808,1.48E+11
9996,Maharashtra,2023,3,mumbai ,56384940,66929058697
9997,Maharashtra,2023,3,sindhudurg ,2892061,4115833896
9998,Maharashtra,2023,3,dhule ,23380569,33869085263
9999,Maharashtra,2023,3,wardha ,12151834,15925275599
10000,Maharashtra,2023,3,parbhani ,22755644,30069003790
10001,Maharashtra,2023,3,mumbai suburban ,144408431,1.56E+11
10002,Maharashtra,2023,3,hingoli ,11484068,15517454106
10003,Maharashtra,2023,3,ratnagiri ,5622567,7363013925
10004,Maharashtra,2023,3,nanded ,46088967,66389759382
10005,Maharashtra,2023,3,osmanabad ,27508444,38968719335
10006,Maharashtra,2023,3,nagpur ,109330463,1.36E+11
10007,Maharashtra,2023,3,buldhana ,32646975,45954816772
10008,Maharashtra,2023,3,nashik ,147156281,1.95E+11
10009,Maharashtra,2023,3,akola ,20181903,26504660325
10010,Maharashtra,2023,3,yavatmal ,24242272,32816183042
10011,Maharashtra,2023,3,aurangabad ,119425478,1.43E+11
10012,Maharashtra,2023,3,amravati ,35853205,49570681008
10013,Maharashtra,2023,3,washim ,11893946,16053693555
10014,Maharashtra,2023,3,sangli ,34485535,49083006957
10015,Maharashtra,2023,3,gadchiroli ,7347453,11526124099
10016,Maharashtra,2023,3,raigad ,59850699,66276827966
10017,Maharashtra,2023,3,palghar ,44864230,51221476224
10018,Maharashtra,2023,3,jalna ,28577430,40437582186
10019,Maharashtra,2023,3,gondia ,10129312,15600745253
10020,Maharashtra,2023,3,ahmednagar ,97743482,1.51E+11
10021,Maharashtra,2023,3,pune ,625390706,5.94E+11
10022,Maharashtra,2023,3,beed ,39245244,62312021984
10023,Maharashtra,2023,3,satara ,42878605,54211466626
10024,Maharashtra,2023,4,jalgaon ,56626744,83558825366
10025,Maharashtra,2023,4,latur ,51515559,67004660096
10026,Maharashtra,2023,4,thane ,192539402,2.09E+11
10027,Maharashtra,2023,4,bhandara ,10737914,16669952096
10028,Maharashtra,2023,4,nandurbar ,12540037,18026751711
10029,Maharashtra,2023,4,chandrapur ,27262447,34464247488
10030,Maharashtra,2023,4,kolhapur ,46837332,59433249423
10031,Maharashtra,2023,4,solapur ,113841137,1.69E+11
10032,Maharashtra,2023,4,mumbai ,64843921,77317355777
10033,Maharashtra,2023,4,sindhudurg ,3531265,4881507372
10034,Maharashtra,2023,4,dhule ,27088875,39264603039
10035,Maharashtra,2023,4,wardha ,13966269,18471518870
10036,Maharashtra,2023,4,parbhani ,26454533,35441901880
