,State,Year,Quarter,district,Transaction_count,Transaction_amount
137,Andhra Pradesh,2019,1,chittoor ,6486813,8223371732
138,Andhra Pradesh,2019,1,guntur ,4846553,7765934169
139,Andhra Pradesh,2019,1,krishna ,5443981,9061346433
140,Andhra Pradesh,2019,2,east godavari ,4699261,9116404622
141,Andhra Pradesh,2019,2,srikakulam ,2019203,4066576540
142,Andhra Pradesh,2019,2,spsr nellore ,3141891,6880873007
143,Andhra Pradesh,2019,2,vizianagaram ,2272320,4443041665
144,Andhra Pradesh,2019,2,visakhapatnam ,11705738,20797479804
145,Andhra Pradesh,2019,2,prakasam ,2670529,6262396448
146,Andhra Pradesh,2019,2,anantapur ,3578836,7830782361
147,Andhra Pradesh,2019,2,ysr ,2606284,6376856828
148,Andhra Pradesh,2019,2,west godavari ,2402074,5676818259
149,Andhra Pradesh,2019,2,kurnool ,3895824,7358285187
150,Andhra Pradesh,2019,2,chittoor ,5983308,10982727976
151,Andhra Pradesh,2019,2,guntur ,5005275,10405246943
152,Andhra Pradesh,2019,2,krishna ,6428472,13437029116
153,Andhra Pradesh,2019,3,east godavari ,6537303,11387726471
154,Andhra Pradesh,2019,3,srikakulam ,2556296,4610131290
155,Andhra Pradesh,2019,3,spsr nellore ,4150195,8256600119
156,Andhra Pradesh,2019,3,vizianagaram ,2861581,4922069039
157,Andhra Pradesh,2019,3,visakhapatnam ,16694947,26944837120
158,Andhra Pradesh,2019,3,prakasam ,3430750,7354502261
159,Andhra Pradesh,2019,3,anantapur ,4889720,9554081289
160,Andhra Pradesh,2019,3,ysr ,3296586,7447544274
161,Andhra Pradesh,2019,3,west godavari ,3179541,6627629029
162,Andhra Pradesh,2019,3,kurnool ,5139134,9025632779
163,Andhra Pradesh,2019,3,chittoor ,8201783,13837455759
164,Andhra Pradesh,2019,3,guntur ,6942304,13075661264
165,Andhra Pradesh,2019,3,krishna ,8408474,16404073561
166,Andhra Pradesh,2019,4,east godavari ,9285739,16816774065
167,Andhra Pradesh,2019,4,srikakulam ,3712555,6832369302
168,Andhra Pradesh,2019,4,spsr nellore ,5877804,11786014089
169,Andhra Pradesh,2019,4,vizianagaram ,3998234,7175851807
170,Andhra Pradesh,2019,4,visakhapatnam ,23594874,39133296330
171,Andhra Pradesh,2019,4,prakasam ,4865473,10604077825
172,Andhra Pradesh,2019,4,anantapur ,6764112,13887248889
173,Andhra Pradesh,2019,4,ysr ,4793157,10865073856
174,Andhra Pradesh,2019,4,west godavari ,4596479,9710614747
175,Andhra Pradesh,2019,4,kurnool ,7001958,13233105729
176,Andhra Pradesh,2019,4,chittoor ,11246986,19298476028
177,Andhra Pradesh,2019,4,guntur ,9761330,18565626418
178,Andhra Pradesh,2019,4,krishna ,11719402,23039786404
179,Andhra Pradesh,2020,1,east godavari ,11346242,21854701379
180,Andhra Pradesh,2020,1,srikakulam ,4835092,9777575594
181,Andhra Pradesh,2020,1,spsr nellore ,7430247,15387829694
182,Andhra Pradesh,2020,1,vizianagaram ,5042066,9879174241
183,Andhra Pradesh,2020,1,visakhapatnam ,27115031,48809747615
184,Andhra Pradesh,2020,1,prakasam ,6318396,14169104765
185,Andhra Pradesh,2020,1,anantapur ,8466129,17864325753
186,Andhra Pradesh,2020,1,ysr ,6031255,14059924637
187,Andhra Pradesh,2020,1,west godavari ,5919670,12995834341
188,Andhra Pradesh,2020,1,kurnool ,8246869,17022710312
189,Andhra Pradesh,2020,1,chittoor ,13257740,23441848567
190,Andhra Pradesh,2020,1,guntur ,11493331,22992734621
191,Andhra Pradesh,2020,1,krishna ,12175289,24481702771
192,Andhra Pradesh,2020,2,east godavari ,13130334,26319906327
193,Andhra Pradesh,2020,2,srikakulam ,6425515,12153650077
194,Andhra Pradesh,2020,2,spsr nellore ,9454274,20665376461
195,Andhra Pradesh,2020,2,vizianagaram ,6690313,12819344390
196,Andhra Pradesh,2020,2,visakhapatnam ,25300401,48293889917
197,Andhra Pradesh,2020,2,prakasam ,8844580,19846026727
198,Andhra Pradesh,2020,2,anantapur ,10473739,22094006659
199,Andhra Pradesh,2020,2,ysr ,8033609,19597207268
200,Andhra Pradesh,2020,2,west godavari ,7273096,16585866855
201,Andhra Pradesh,2020,2,kurnool ,9821381,22419372062
202,Andhra Pradesh,2020,2,chittoor ,14848197,27361300300
203,Andhra Pradesh,2020,2,guntur ,12308707,27463593608
204,Andhra Pradesh,2020,2,krishna ,12313709,26964149095
205,Andhra Pradesh,2020,3,east godavari ,17972431,39300043805
206,Andhra Pradesh,2020,3,srikakulam ,8286289,18029574581
207,Andhra Pradesh,2020,3,spsr nellore ,16468209,39128324534
208,Andhra Pradesh,2020,3,vizianagaram ,8236703,17567816577
209,Andhra Pradesh,2020,3,visakhapatnam ,34421299,67628440368
210,Andhra Pradesh,2020,3,prakasam ,12266310,31221704852
211,Andhra Pradesh,2020,3,anantapur ,14447683,34102037973
212,Andhra Pradesh,2020,3,ysr ,11934653,32037007334
213,Andhra Pradesh,2020,3,west godavari ,10412351,25408608726
214,Andhra Pradesh,2020,3,kurnool ,13243292,32529351107
215,Andhra Pradesh,2020,3,chittoor ,20501863,42811566246
216,Andhra Pradesh,2020,3,guntur ,17601395,42531195810
217,Andhra Pradesh,2020,3,krishna ,19110457,44788458672
218,Andhra Pradesh,2020,4,east godavari ,25989490,58732615663
219,Andhra Pradesh,2020,4,srikakulam ,11092184,25222520275
220,Andhra Pradesh,2020,4,spsr nellore ,20934374,49115443663
221,Andhra Pradesh,2020,4,vizianagaram ,10580824,24094847668
222,Andhra Pradesh,2020,4,visakhapatnam ,46551467,91879823025
223,Andhra Pradesh,2020,4,prakasam ,16176867,41852443494
224,Andhra Pradesh,2020,4,anantapur ,20996384,49732610814
225,Andhra Pradesh,2020,4,ysr ,15676878,42572974713
226,Andhra Pradesh,2020,4,west godavari ,15674762,40310975763
227,Andhra Pradesh,2020,4,kurnool ,18737323,44718203115
228,Andhra Pradesh,2020,4,chittoor ,29590411,61505711150
229,Andhra Pradesh,2020,4,guntur ,26136538,60641872021
230,Andhra Pradesh,2020,4,krishna ,27981050,64461504668
231,Andhra Pradesh,2021,1,east godavari ,26190701,60027984988
232,Andhra Pradesh,2021,1,srikakulam ,11160473,26486623313
233,Andhra Pradesh,2021,1,spsr nellore ,22541428,52210333202
234,Andhra Pradesh,2021,1,vizianagaram ,10514582,24153782497
235,Andhra Pradesh,2021,1,visakhapatnam ,48248923,95308386038
236,Andhra Pradesh,2021,1,prakasam ,15175395,41396223622
237,Andhra Pradesh,2021,1,anantapur ,20102957,48353870395
238,Andhra Pradesh,2021,1,ysr ,15374473,42570919449
239,Andhra Pradesh,2021,1,west godavari ,16015685,42124030669
240,Andhra Pradesh,2021,1,kurnool ,17918524,44941629660
