,State,Year,Quarter,district,registeredUsers,appOpens
239,Andhra Pradesh,2021,1,spsr nellore ,1100541,60691988
240,Andhra Pradesh,2021,1,vizianagaram ,681621,37752539
241,Andhra Pradesh,2021,1,ysr ,1032689,53525815
242,Andhra Pradesh,2021,1,west godavari ,1254117,57392671
243,Andhra Pradesh,2021,1,chittoor ,1751420,99083825
244,Andhra Pradesh,2021,2,east godavari ,2006272,84705076
245,Andhra Pradesh,2021,2,srikakulam ,837958,43740255
246,Andhra Pradesh,2021,2,visakhapatnam ,2526830,114313154
247,Andhra Pradesh,2021,2,prakasam ,1151232,76850749
248,Andhra Pradesh,2021,2,anantapur ,1492738,104568606
249,Andhra Pradesh,2021,2,kurnool ,1415585,81894678
250,Andhra Pradesh,2021,2,guntur ,1968681,88248064
251,Andhra Pradesh,2021,2,krishna ,2002662,85771678
252,Andhra Pradesh,2021,2,spsr nellore ,1176334,74049216
253,Andhra Pradesh,2021,2,vizianagaram ,729509,42684475
254,Andhra Pradesh,2021,2,ysr ,1103004,72255265
255,Andhra Pradesh,2021,2,west godavari ,1339377,65118788
256,Andhra Pradesh,2021,2,chittoor ,1870723,110505432
257,Andhra Pradesh,2021,3,east godavari ,2150622,103626560
258,Andhra Pradesh,2021,3,srikakulam ,902008,48622126
259,Andhra Pradesh,2021,3,visakhapatnam ,2707931,139540800
260,Andhra Pradesh,2021,3,prakasam ,1239147,91533813
261,Andhra Pradesh,2021,3,anantapur ,1606735,124985545
262,Andhra Pradesh,2021,3,kurnool ,1522196,101210508
263,Andhra Pradesh,2021,3,guntur ,2110878,106621413
264,Andhra Pradesh,2021,3,krishna ,2145423,104358295
265,Andhra Pradesh,2021,3,spsr nellore ,1263550,90102349
266,Andhra Pradesh,2021,3,vizianagaram ,784444,46277311
267,Andhra Pradesh,2021,3,ysr ,1183377,86369956
268,Andhra Pradesh,2021,3,west godavari ,1436576,80244808
269,Andhra Pradesh,2021,3,chittoor ,2007011,135043395
270,Andhra Pradesh,2021,4,east godavari ,2294347,142536856
271,Andhra Pradesh,2021,4,srikakulam ,965335,61654215
272,Andhra Pradesh,2021,4,visakhapatnam ,2888774,188757640
273,Andhra Pradesh,2021,4,prakasam ,1325728,86410317
274,Andhra Pradesh,2021,4,anantapur ,1719437,120768682
275,Andhra Pradesh,2021,4,kurnool ,1628242,97379271
276,Andhra Pradesh,2021,4,guntur ,2252443,130920743
277,Andhra Pradesh,2021,4,krishna ,2288148,134436469
278,Andhra Pradesh,2021,4,spsr nellore ,1349290,90814672
279,Andhra Pradesh,2021,4,vizianagaram ,839606,56101822
280,Andhra Pradesh,2021,4,ysr ,1262963,83534122
281,Andhra Pradesh,2021,4,west godavari ,1532898,100007280
282,Andhra Pradesh,2021,4,chittoor ,2141818,154395512
283,Andhra Pradesh,2022,1,east godavari ,2432305,87134562
284,Andhra Pradesh,2022,1,srikakulam ,1027283,46691467
285,Andhra Pradesh,2022,1,visakhapatnam ,3061324,88803090
286,Andhra Pradesh,2022,1,prakasam ,1408929,104851997
287,Andhra Pradesh,2022,1,anantapur ,1827094,155792533
